transaction_date,price
2018-01-01,184530.88311933138
2018-01-01,237974.69962710477
2018-01-01,302610.4944117716
2018-01-01,179277.12856049606
2018-01-02,217134.74842940917
2018-01-03,207960.96433018526
2018-01-03,207891.59970968438
2018-01-03,191484.8879069682
2018-01-04,209009.91447556068
2018-01-04,194764.83419557812
2018-01-04,211118.82903291684
2018-01-05,161901.11091978723
2018-01-05,191322.53074041623
2018-01-06,234443.10195616388
2018-01-06,184658.65089199398
2018-01-06,187923.23405013626
2018-01-07,191040.7732310005
2018-01-07,175703.87728222713
2018-01-08,155834.38447543496
2018-01-08,195388.27202952775
2018-01-08,202717.18848163314
2018-01-10,198949.89862922695
2018-01-10,197102.42876104228
2018-01-11,200860.81741700775
2018-01-11,220456.82943101527
2018-01-11,196191.07628141568
2018-01-11,188518.3484582546
2018-01-12,194377.49030223826
2018-01-12,211586.9351951355
2018-01-13,228240.53757086498
2018-01-14,187437.12521661643
2018-01-14,201978.6757405777
2018-01-14,206767.14883871918
2018-01-15,180148.43986542354
2018-01-15,200408.34334425835
2018-01-15,170686.5228531581
2018-01-15,164618.993925212
2018-01-16,207334.92815784513
2018-01-16,192322.50517338436
2018-01-16,204045.6081524244
2018-01-16,199642.100459833
2018-01-17,180471.99902672405
2018-01-18,199094.91396071328
2018-01-18,175337.9738997029
2018-01-19,227819.447160028
2018-01-19,172880.59310280072
2018-01-19,196084.29458062837
2018-01-20,179154.56823905502
2018-01-20,211408.4234672159
2018-01-21,193371.37257436995
2018-01-21,189626.6656075758
2018-01-21,217064.0309010311
2018-01-22,200588.61183355105
2018-01-22,210332.88891871934
2018-01-22,180373.4812696507
2018-01-22,171903.66112144987
2018-01-23,202144.15924080266
2018-01-24,193623.07289010537
2018-01-24,212528.69344907888
2018-01-24,198401.83094674902
2018-01-25,204101.5067846926
2018-01-25,167532.34940117513
2018-01-25,237768.73879228515
2018-01-26,196715.16029935936
2018-01-26,320927.609110176
2018-01-26,183278.16659560747
2018-01-27,206160.19804434682
2018-01-27,260914.65709425762
2018-01-27,209041.35676519343
2018-01-27,192880.51831228336
2018-01-27,200583.81007871134
2018-01-29,213959.48060260195
2018-01-30,175349.1937755944
2018-01-30,186310.16538774405
2018-01-30,209146.4856217353
2018-01-30,241964.42949093494
2018-01-31,197238.35330677035
2018-01-31,211822.72235847864
2018-01-31,197860.5706028304
2018-02-01,263844.911895126
2018-02-02,190055.5666606949
2018-02-02,226892.42089338717
2018-02-02,192489.1193287588
2018-02-02,174868.56858926566
2018-02-02,230949.24106235633
2018-02-02,227789.9559229492
2018-02-02,219303.26124515597
2018-02-03,222876.11819920494
2018-02-03,286965.98868142517
2018-02-03,219836.49723937133
2018-02-04,235202.4872250015
2018-02-04,212012.7036077224
2018-02-04,230904.65150081206
2018-02-04,220235.32649888765
2018-02-05,216789.6303454054
2018-02-05,261377.9706440065
2018-02-06,248543.69926368678
2018-02-07,227734.9329479846
2018-02-07,178915.76128112065
2018-02-07,217779.8155349486
2018-02-07,279060.55128810165
2018-02-08,220386.76666720584
2018-02-08,247064.35144107317
2018-02-08,253838.848039052
2018-02-08,229379.2783171195
2018-02-09,208163.56736263697
2018-02-10,176293.75336434224
2018-02-10,238683.2641721791
2018-02-11,208704.87994352903
2018-02-11,228523.00903775383
2018-02-11,200003.59320821273
2018-02-12,219695.24919059596
2018-02-12,225674.38109802105
2018-02-12,230371.87162088597
2018-02-12,202703.5562529517
2018-02-12,248938.21897522704
2018-02-13,213062.10430536058
2018-02-13,191510.6107909351
2018-02-13,222819.53160073073
2018-02-13,225687.5061805292
2018-02-13,228211.7886634352
2018-02-14,252242.6480737016
2018-02-14,220271.0232652828
2018-02-14,222607.60751262459
2018-02-15,202936.31237533814
2018-02-15,241411.07005775796
2018-02-16,228686.18128156208
2018-02-16,216599.44545411674
2018-02-16,186906.50613069072
2018-02-17,253888.24390110176
2018-02-17,200446.40071087886
2018-02-17,213174.43981260588
2018-02-18,232166.89022152007
2018-02-19,201068.84142766628
2018-02-19,195129.80443493713
2018-02-19,182521.0483459867
2018-02-19,239419.9390581127
2018-02-19,214096.27510547356
2018-02-19,283545.4018494666
2018-02-20,205112.89868738252
2018-02-21,206570.97953142156
2018-02-21,213692.14059429197
2018-02-21,229862.6931027698
2018-02-21,215595.93322429378
2018-02-21,237246.64428005024
2018-02-22,308142.34830034035
2018-02-22,197368.16563072838
2018-02-22,189035.70521181784
2018-02-22,180528.51664125605
2018-02-23,214638.61961049886
2018-02-23,218980.39375213557
2018-02-23,212371.25945033634
2018-02-24,249868.11594374324
2018-02-24,249560.6041921627
2018-02-25,218303.94025110998
2018-02-25,189121.57773616075
2018-02-25,213665.89783889893
2018-02-26,106501.78606082938
2018-02-26,105928.65037721943
2018-02-27,211045.6219220351
2018-02-27,211930.74208550385
2018-02-27,217269.1676820448
2018-02-27,212289.17802368887
2018-02-27,229166.45017251183
2018-02-27,232207.37431809722
2018-02-28,206787.0982563502
2018-02-28,250421.30652014067
2018-03-01,223700.02415240963
2018-03-01,210945.25791291517
2018-03-01,250916.83161652295
2018-03-01,226953.10750093512
2018-03-01,374590.6494065545
2018-03-01,195227.89816721133
2018-03-02,271150.3890188833
2018-03-02,256747.13835002997
2018-03-02,213291.73920596187
2018-03-04,213725.7277122962
2018-03-04,276746.5882711725
2018-03-04,228553.67211926274
2018-03-04,226617.57321456945
2018-03-04,197980.22830623627
2018-03-06,236285.70607719084
2018-03-06,238746.87789250686
2018-03-06,257611.1321246116
2018-03-06,215319.7016255324
2018-03-06,212895.53434440974
2018-03-06,252320.52288475147
2018-03-07,263435.8716137632
2018-03-07,211878.22316686425
2018-03-08,264931.5519152167
2018-03-08,244052.10701895834
2018-03-08,265137.37697071483
2018-03-08,241896.86295886958
2018-03-09,192855.71183946292
2018-03-09,240261.92254290113
2018-03-09,264504.1465626473
2018-03-10,225426.34980754764
2018-03-10,235541.97081107288
2018-03-10,239778.60011820236
2018-03-10,185310.99259185226
2018-03-10,276728.22169797146
2018-03-11,225273.75659127842
2018-03-11,253415.9788386779
2018-03-11,241567.24746625774
2018-03-11,268453.6513164091
2018-03-11,251422.39263778355
2018-03-11,238602.78475880242
2018-03-11,225430.9683388363
2018-03-11,259258.2842168647
2018-03-12,205832.44411012958
